"","n_comp","freq","threshold","sd","subj"
"408",9,"6100",7.08333333,1.50462251,"x40"
"409",5,"300",-7.125,2.57694102,"x40"
"410",1,"300",-21.125,1.09687055,"x40"
"411",3,"6100",-5.875,1.28086885,"x40"
"412",1,"6100",-6.75,0.55901699,"x40"
"413",9,"300",-3.375,0.80039053,"x40"
"414",3,"300",-15.625,1.66301684,"x40"
"415",15,"6100",9.375,0.5153882,"x40"
"416",15,"300",-7.125,1.80710404,"x40"
"417",5,"6100",0.375,1.25623445,"x40"
"418",3,"6100",-2.625,1.00778222,"x40"
"419",1,"300",-20.375,0.80039053,"x40"
"420",3,"300",-12,1.11803399,"x40"
"421",5,"6100",9,1.60078106,"x40"
"422",1,"6100",-2,1.27475488,"x40"
"423",9,"300",-0.625,0.375,"x40"
"424",5,"300",-5.5,1.62018517,"x40"
"425",9,"6100",9.5,0.55901699,"x40"
"426",15,"6100",8.66666667,1.32811479,"x40"
"427",15,"300",4.75,1.3462912,"x40"
"428",15,"300",-3.875,1.80710404,"x40"
"429",1,"300",-23.75,1.5411035,"x40"
"430",1,"6100",-9.375,1.00778222,"x40"
"431",5,"300",-0.375,1.85825859,"x40"
"432",3,"300",-15.625,1.875,"x40"
"433",5,"6100",5.125,0.80039053,"x40"
"434",3,"6100",-3.75,0.8291562,"x40"
"435",15,"6100",13,0,"x40"
"436",9,"6100",13,0,"x40"
"437",9,"300",-4.5,0.8291562,"x40"
"438",5,"300",-9.625,2.40117159,"x40"
"439",5,"6100",7.5,1.82002747,"x40"
"440",3,"6100",-9.625,0.71807033,"x40"
"441",3,"300",-10.125,0.80039053,"x40"
"442",15,"300",-2.5,0.61237244,"x40"
"443",1,"300",-18.875,1.90804219,"x40"
"444",9,"300",-6.625,1.03832798,"x40"
"445",9,"6100",13,0,"x40"
"446",15,"6100",13,0,"x40"
"447",1,"6100",-1.375,1.875,"x40"
"448",5,"6100",4.125,1.32876823,"x40"
"449",1,"300",-13.125,1.32876823,"x40"
"450",3,"6100",0.875,1.125,"x40"
"451",15,"300",-3.5,3.79143772,"x40"
"452",1,"6100",-8.25,1.47901995,"x40"
"453",9,"300",-9.25,1.93649167,"x40"
"454",5,"300",-7.375,1.125,"x40"
"455",9,"6100",5.125,1.17924764,"x40"
"456",3,"300",-9.375,2.64870251,"x40"
"457",15,"6100",5.5,2.01556444,"x40"
"458",15,"6100",7.125,0.80039053,"x40"
"459",5,"6100",0.5,2.96858552,"x40"
"460",1,"6100",-8.125,0.9437293,"x40"
"461",9,"300",-13,0.96824584,"x40"
"462",1,"300",-20.25,0.93541435,"x40"
"463",3,"6100",-7.125,0.80039053,"x40"
"464",3,"300",-8.625,1.17924764,"x40"
"465",5,"300",-9.125,0.80039053,"x40"
"466",15,"300",-2.125,1.77218086,"x40"
"467",9,"6100",7.25,1.22474487,"x40"
"468",5,"300",-8.25,2.65753645,"x40"
"469",3,"300",-3.375,1.90804219,"x40"
"470",5,"6100",-0.125,2.34853678,"x40"
"471",15,"6100",1.875,3.71020552,"x40"
"472",9,"300",-8.25,0.8291562,"x40"
"473",15,"300",-5.25,0.70710678,"x40"
"474",9,"6100",9.29166667,0.56672794,"x40"
"475",1,"6100",-7.25,0.93541435,"x40"
"476",1,"300",-21.875,1.70018381,"x40"
"477",3,"6100",-5,1.03077641,"x40"
"478",3,"6100",-6.75,1.6583124,"x40"
"479",5,"6100",1.125,0.80039053,"x40"
"480",15,"300",-3.125,2.57694102,"x40"
"481",1,"6100",-10.125,1.00778222,"x40"
"482",5,"300",-10.25,0.70710678,"x40"
"483",3,"300",-13,1.5612495,"x40"
"484",1,"300",-19.875,1.17924764,"x40"
"485",9,"300",-11.25,1.60078106,"x40"
"486",9,"6100",-0.375,1.17924764,"x40"
"487",15,"6100",7.625,1.375,"x40"
"488",15,"300",-5.25,0.8291562,"x40"
"489",5,"6100",-2.375,1.70018381,"x40"
"490",1,"6100",-5.375,1.32876823,"x40"
"491",15,"6100",7.29166667,4.12163162,"x40"
"492",5,"300",-11.875,0.83852549,"x40"
"493",9,"6100",13,0,"x40"
"494",3,"6100",-9.125,1.00778222,"x40"
"495",3,"300",-9.125,2.00390244,"x40"
"496",1,"300",-19.5,1.3462912,"x40"
"497",9,"300",-8.375,0.80039053,"x40"
"498",9,"6100",13,0,"x40"
"499",1,"300",-20,1.41421356,"x40"
"500",5,"300",-6.375,0.5153882,"x40"
"501",5,"6100",1,0.70710678,"x40"
"502",3,"300",-6.375,1.46308749,"x40"
"503",15,"300",-5.5,1.62018517,"x40"
"504",3,"6100",-8.125,0.375,"x40"
"505",15,"6100",6.875,0.71807033,"x40"
"506",1,"6100",-7.875,2.00390244,"x40"
"507",9,"300",-10.375,1.97246673,"x40"
"508",3,"6100",-3.375,1.58607219,"x45"
"509",1,"300",-7.75,0.75,"x45"
"510",3,"300",0.125,0.375,"x45"
"511",5,"300",1.125,2.7866871,"x45"
"512",9,"6100",13,0,"x45"
"513",5,"6100",5.375,1.28086885,"x45"
"514",15,"300",1,0.55901699,"x45"
"515",9,"300",-1.625,1.25623445,"x45"
"516",1,"6100",-6.75,1.27475488,"x45"
"517",15,"6100",13,0,"x45"
"518",5,"300",1.875,0.6731456,"x45"
"519",15,"6100",5,2.20794022,"x45"
"520",9,"300",-4.125,1.80710404,"x45"
"521",3,"6100",1.875,1.00778222,"x45"
"522",9,"6100",-6,1.6583124,"x45"
"523",5,"6100",-0.25,1.43614066,"x45"
"524",3,"300",-1.25,3.28823661,"x45"
"525",15,"300",-2.75,0.55901699,"x45"
"526",1,"6100",-7.75,1.43614066,"x45"
"527",1,"300",-6.75,0.93541435,"x45"
"528",3,"300",-1.875,0.80039053,"x45"
"529",5,"300",5.125,0.80039053,"x45"
"530",1,"6100",-7.375,0.71807033,"x45"
"531",15,"300",-4.25,0.55901699,"x45"
"532",5,"6100",6.375,1.09687055,"x45"
"533",3,"6100",2.875,1.58607219,"x45"
"534",15,"6100",5.95833333,1.97598428,"x45"
"535",1,"300",-10.25,1.11803399,"x45"
"536",9,"300",-3,0.55901699,"x45"
"537",9,"6100",9.04166667,1.50980591,"x45"
"538",1,"6100",-3.75,0.93541435,"x45"
"539",9,"6100",8.125,2.00390244,"x45"
"540",3,"300",-0.125,1.32876823,"x45"
"541",3,"6100",5.875,0.80039053,"x45"
"542",9,"300",-4.625,1.09687055,"x45"
"543",5,"300",-3,0.8291562,"x45"
"544",1,"300",-8.75,0.93541435,"x45"
"545",15,"6100",2.625,2.00390244,"x45"
"546",5,"6100",-3.25,1.62018517,"x45"
"547",15,"300",-1.875,2.26729464,"x45"
"548",3,"300",0.25,0.8291562,"x45"
"549",15,"6100",3.95833333,4.15184865,"x45"
"550",3,"6100",-0.375,0.80039053,"x45"
"551",15,"300",-3,0.55901699,"x45"
"552",9,"6100",13,0,"x45"
"553",5,"300",-2.125,0.9437293,"x45"
"554",1,"300",-8.875,1.92435054,"x45"
"555",1,"6100",-7.25,0.55901699,"x45"
"556",5,"6100",1,1.82002747,"x45"
"557",9,"300",-8.75,2.10653744,"x45"
"558",9,"300",-7.75,0.96824584,"x45"
"559",3,"6100",-1.5,1.11803399,"x45"
"560",15,"300",-0.625,1.875,"x45"
"561",5,"300",-4.875,2.09538183,"x45"
"562",5,"6100",-5.375,1.46308749,"x45"
"563",1,"6100",-5.375,1.09687055,"x45"
"564",9,"6100",1.875,2.85317805,"x45"
"565",15,"6100",13,0,"x45"
"566",3,"300",-4.75,1.5612495,"x45"
"567",1,"300",-7.375,0.71807033,"x45"
"568",9,"300",-10.75,0.61237244,"x45"
"569",5,"300",-2.875,1.28086885,"x45"
"570",1,"6100",-11.25,0.93541435,"x45"
"571",15,"300",-3.125,1.32876823,"x45"
"572",1,"300",-11.75,0.93541435,"x45"
"573",3,"300",-3.625,0.83852549,"x45"
"574",3,"6100",3.375,1.17924764,"x45"
"575",15,"6100",2.5,2.01556444,"x45"
"576",5,"6100",-1.375,3.14493641,"x45"
"577",9,"6100",13,0,"x45"
"578",15,"300",-4.875,0.80039053,"x45"
"579",5,"6100",0.125,0.375,"x45"
"580",3,"6100",-4.25,0.8291562,"x45"
"581",9,"6100",13,0,"x45"
"582",9,"300",-10,1.06066017,"x45"
"583",1,"6100",-10.375,1.66301684,"x45"
"584",5,"300",-9,0.8291562,"x45"
"585",15,"6100",3.70833333,3.94075042,"x45"
"586",1,"300",-12.375,1.00778222,"x45"
"587",3,"300",-7.25,0.55901699,"x45"
"588",9,"6100",13,0,"x45"
"589",3,"6100",-8,2.31840462,"x45"
"590",15,"300",-4.375,0.71807033,"x45"
"591",1,"6100",-4.375,2.47802845,"x45"
"592",9,"300",-11.875,1.66301684,"x45"
"593",3,"300",-10.375,1.28086885,"x45"
"594",15,"6100",13,0,"x45"
"595",5,"6100",3.125,0.71807033,"x45"
"596",1,"300",-9.5,0.70710678,"x45"
"597",5,"300",-4.25,1.19895788,"x45"
