Column1,n_comp,freq,threshold,sd,subj,task,run
371,3,High,-6.75,1.6583124,x40,Control,10
387,3,High,-9.125,1.00778222,x40,Control,11
397,3,High,-8.125,0.375,x40,Control,12
403,3,Low,0.125,0.375,x45,Control,1
417,3,Low,-1.25,3.28823661,x45,Control,2
421,3,Low,-1.875,0.80039053,x45,Control,3
433,3,Low,-0.125,1.32876823,x45,Control,4
441,3,Low,0.25,0.8291562,x45,Control,5
459,3,Low,-4.75,1.5612495,x45,Control,6
466,3,Low,-3.625,0.83852549,x45,Control,7
480,3,Low,-7.25,0.55901699,x45,Control,8
486,3,Low,-10.375,1.28086885,x45,Control,9
499,3,Low,-5.875,0.71807033,x45,Control,10
502,3,Low,-10.375,0.375,x45,Control,11
514,3,Low,-8.5,0.61237244,x45,Control,12
401,3,High,-3.375,1.58607219,x45,Control,1
414,3,High,1.875,1.00778222,x45,Control,2
426,3,High,2.875,1.58607219,x45,Control,3
434,3,High,5.875,0.80039053,x45,Control,4
443,3,High,-0.375,0.80039053,x45,Control,5
452,3,High,-1.5,1.11803399,x45,Control,6
467,3,High,3.375,1.17924764,x45,Control,7
473,3,High,-4.25,0.8291562,x45,Control,8
482,3,High,-8.0,2.31840462,x45,Control,9
497,3,High,-2.375,1.17924764,x45,Control,10
508,3,High,-5.75,0.55901699,x45,Control,11
520,3,High,-5.0,1.3462912,x45,Control,12
523,3,Low,-5.875,3.93898781,x46,Control,1
532,3,Low,-6.0,1.3462912,x46,Control,2
545,3,Low,-6.0,0.55901699,x46,Control,3
556,3,Low,-8.875,0.375,x46,Control,4
570,3,Low,-11.125,0.71807033,x46,Control,5
575,3,Low,-10.0,1.22474487,x46,Control,6
582,3,Low,-12.875,1.80710404,x46,Control,7
598,3,Low,-9.375,1.17924764,x46,Control,8
610,3,Low,-10.875,1.17924764,x46,Control,9
611,3,Low,-11.375,2.50312305,x46,Control,10
621,3,Low,-16.375,0.71807033,x46,Control,11
639,3,Low,-15.625,0.71807033,x46,Control,12
527,3,High,9.25,0.61237244,x46,Control,1
534,3,High,0.875,1.28086885,x46,Control,2
544,3,High,0.25,3.0516389,x46,Control,3
551,3,High,9.25,0.61237244,x46,Control,4
564,3,High,-1.875,1.46308749,x46,Control,5
580,3,High,-1.375,1.125,x46,Control,6
585,3,High,-4.375,1.77218086,x46,Control,7
592,3,High,-0.625,0.71807033,x46,Control,8
605,3,High,-4.75,0.96824584,x46,Control,9
613,3,High,1.75,0.8291562,x46,Control,10
629,3,High,1.75,0.55901699,x46,Control,11
