"","freq","threshold","sd","subj","task"
"301","Low",-2,1.63299316,"x02","Task"
"302","High",0,0,"x02","Task"
"303","Low",-1.66666667,2.13437475,"x02","Task"
"304","High",0,0,"x02","Task"
"305","High",0,0,"x02","Task"
"306","Low",0,0,"x02","Task"
"307","High",0,0,"x02","Task"
"308","Low",0,0,"x02","Task"
"309","Low",0,0,"x02","Task"
"310","High",0,0,"x02","Task"
"311","Low",-4.33333333,2.13437475,"x02","Task"
"312","High",0,0,"x02","Task"
"313","High",0,0,"x07","Task"
"314","Low",-3.66666667,2.13437475,"x07","Task"
"315","High",-1.66666667,1.37436854,"x07","Task"
"316","Low",-7.33333333,2.49443826,"x07","Task"
"317","Low",-8.66666667,2.21108319,"x07","Task"
"318","High",-6.33333333,2.13437475,"x07","Task"
"319","Low",-8.33333333,4.06885187,"x07","Task"
"320","High",-3,1,"x07","Task"
"321","High",-4,2.5819889,"x07","Task"
"322","Low",-8,1.63299316,"x07","Task"
"323","High",-4,1.63299316,"x07","Task"
"324","Low",-8,2.30940108,"x07","Task"
"325","High",0,0,"x09","Task"
"326","Low",-12,1.63299316,"x09","Task"
"327","Low",-11,1,"x09","Task"
"328","High",0,0,"x09","Task"
"329","High",0,0,"x09","Task"
"330","Low",-10.33333333,3.72677996,"x09","Task"
"331","High",0,0,"x09","Task"
"332","Low",-8.33333333,1.79505494,"x09","Task"
"333","High",0,0,"x09","Task"
"334","Low",-7.33333333,4.26874949,"x09","Task"
"335","High",0,0,"x09","Task"
"336","Low",-9,2.51661148,"x09","Task"
"337","Low",0,0,"x11","Task"
"338","High",-2,1.63299316,"x11","Task"
"339","Low",-6.33333333,3.54338194,"x11","Task"
"340","High",-4.66666667,2.49443826,"x11","Task"
"341","High",-8.33333333,2.13437475,"x11","Task"
"342","Low",0,0,"x11","Task"
"343","Low",-4.66666667,2.98142397,"x11","Task"
"344","High",-7.33333333,1.49071198,"x11","Task"
"345","High",-6,3.65148372,"x11","Task"
"346","Low",-6.66666667,3.39934634,"x11","Task"
"347","High",-6.33333333,3.72677996,"x11","Task"
"348","Low",-6.33333333,2.92498813,"x11","Task"
"349","High",0,0,"x14","Task"
"350","Low",-11.33333333,1.49071198,"x14","Task"
"351","Low",-8.33333333,2.4267033,"x14","Task"
"352","High",-2.66666667,1.49071198,"x14","Task"
"353","Low",-9.33333333,1.49071198,"x14","Task"
"354","High",0,0,"x14","Task"
"355","High",0,0,"x14","Task"
"356","Low",-4.66666667,2.74873708,"x14","Task"
"357","Low",-8,1.63299316,"x14","Task"
"358","High",0,0,"x14","Task"
"359","High",0,0,"x14","Task"
"360","Low",-6,1.63299316,"x14","Task"
"361","High",0,0,"x15","Task"
"362","Low",-5.33333333,2.98142397,"x15","Task"
"363","High",-3.66666667,3.34995854,"x15","Task"
"364","Low",-9.33333333,1.49071198,"x15","Task"
"365","High",0,0,"x15","Task"
"366","Low",-7.66666667,3.90156664,"x15","Task"
"367","Low",-7.66666667,1.79505494,"x15","Task"
"368","High",-3.33333333,2.98142397,"x15","Task"
"369","High",0,0,"x15","Task"
"370","Low",-8,2.30940108,"x15","Task"
"371","High",0,0,"x15","Task"
"372","Low",-8,1.63299316,"x15","Task"
"373","High",0,0,"x16","Task"
"374","Low",-4,2.5819889,"x16","Task"
"375","Low",-8.66666667,2.74873708,"x16","Task"
"376","High",0,0,"x16","Task"
"377","Low",-7.33333333,1.49071198,"x16","Task"
"378","High",0,0,"x16","Task"
"379","High",0,0,"x16","Task"
"380","Low",-9,2.23606798,"x16","Task"
"381","High",0,0,"x16","Task"
"382","Low",-9,1.91485422,"x16","Task"
"383","High",0,0,"x16","Task"
"384","Low",-7.33333333,1.49071198,"x16","Task"
"385","Low",0,0,"x17","Task"
"386","High",0,0,"x17","Task"
"387","Low",0,0,"x17","Task"
